,Rank, ,Code,Company,Price,Change,% Chg,Mkt Cap,1 Year
102,103,up,SKI,Spark Infrastructure Stapled $0.65 Loan Note and Unit US Prohib,$2.28,+0.08,+3.64%,$3.83 B,-2.56%
103,104,down,DLX,Duluxgroup Limited,$9.75,-0.02,-0.21%,$3.80 B,+25.32%
104,105,no change,ORA,Orora Limited,$3.12,0.00,0.00%,$3.76 B,-7.14%
105,106,down,URW,Unibailrodawestfield Chess Depositary Interests 20:1,$11.57,-0.32,-2.69%,$3.76 B,-21.35%
106,107,up,STW,SPDR 200 Fund ETF Units FP,$58.87,+0.22,+0.38%,$3.69 B,+2.87%
107,108,up,ILU,Iluka Resources,$8.65,+0.25,+2.98%,$3.65 B,-26.45%
108,109,up,RWC,Reliance Worldwide,$4.61,+0.02,+0.44%,$3.64 B,+0.08%
109,110,down,BOQ,Bank of Queensland,$8.94,-0.04,-0.45%,$3.59 B,-11.83%
110,111,up,ANN,Ansell Limited,$26.99,+0.28,+1.05%,$3.58 B,+1.20%
111,112,up,VAS,VNGD Aus Shares ETF Units FP,$80.02,+0.17,+0.21%,$3.52 B,+2.33%
112,113,up,DMP,Domino PIZZA Enterpr,$40.75,+0.03,+0.07%,$3.49 B,-4.79%
113,114,down,EBO,Ebos Group Limited,$20.70,-0.15,-0.72%,$3.35 B,+25.15%
114,115,down,CAR,Carsales.com Limited,$13.67,-0.04,-0.29%,$3.34 B,-3.94%
115,116,down,CYB,CYBG Plc Cdi 1:1 Foreign Exempt Lse,$3.56,-0.05,-1.39%,$3.22 B,-38.94%
116,117,down,NEC,Nine Entertainment,$1.84,-0.01,-0.54%,$3.14 B,-23.65%
117,118,up,GOZ,Growthpoint Property FP Ordinary/Units Stapled Securities,$4.22,+0.03,+0.72%,$3.07 B,+22.95%
118,119,down,IVV,Ishares S&P 500 ETF ETF Units FP,$412.27,-2.18,-0.53%,$3.03 B,+13.17%
119,120,up,OZL,OZ Minerals,$9.35,+0.05,+0.54%,$3.03 B,-8.78%
120,121,up,MLT,Milton Corporation,$4.49,+0.01,+0.22%,$3.00 B,-2.18%
121,122,down,GNE,Genesis Energy Limited Foreign Exempt NZX,$2.92,-0.02,-0.68%,$2.97 B,+30.94%
122,123,no change,AIZ,Air New Zealand Foreign Exempt NZX,$2.61,0.00,0.00%,$2.93 B,-15.40%
123,124,no change,JBH,JB Hi-Fi Limited,$25.44,0.00,0.00%,$2.92 B,+14.13%
124,125,down,APX,Appen Limited,$23.86,-0.16,-0.67%,$2.89 B,+120.52%
125,126,down,MIN,Mineral Resources,$15.02,-0.35,-2.28%,$2.83 B,-25.09%
126,127,no change,CRN,Coronado Global Res Cdi 10:1 US Prohibited Excluding QIB,$2.90,0.00,0.00%,$2.80 B,-19.44%
127,128,down,PTM,Platinum Asset,$4.69,-0.01,-0.21%,$2.75 B,-24.96%
128,129,up,TNE,Technology One,$8.52,+0.08,+0.95%,$2.70 B,+72.47%
129,130,error,IGO,Independence Group,$4.55,0.00,0.00%,$2.69 B,-8.64%
130,131,down,CTD,Corp Travel Limited,$24.55,-0.34,-1.37%,$2.66 B,-4.59%
131,132,up,CMW,Cromwell Prop FP Ordinary/Units Stapled Securities,$1.185,+0.005,+0.42%,$2.64 B,+7.94%
132,133,down,NHF,Nib Holdings Limited,$5.80,-0.09,-1.53%,$2.64 B,+2.47%
133,134,down,PMV,Premier Investments,$16.57,-0.1,-0.60%,$2.62 B,+4.08%
134,135,up,MTS,Metcash Limited,$2.88,+0.03,+1.05%,$2.62 B,-15.79%
135,136,up,CNU,Chorus Limited Foreign Exempt NZX,$5.93,+0.03,+0.51%,$2.60 B,+56.05%
136,137,up,SDF,Steadfast Group Limited,$3.28,+0.01,+0.31%,$2.60 B,+13.50%
137,138,no change,SKC,Skycity Ent Group Limited Foreign Exempt NZX,$3.67,0.00,0.00%,$2.50 B,+0.82%
138,139,up,IRE,Iress Limited,$14.27,+0.05,+0.35%,$2.49 B,+31.40%
139,140,up,SAR,Saracen Mineral,$3.03,+0.1,+3.41%,$2.49 B,+42.93%
140,141,up,VOC,Vocus Group Limited,$3.98,+0.06,+1.53%,$2.48 B,+50.76%
141,142,no change,IFT,Infratil Limited Foreign Exempt NZX,$4.35,0.00,0.00%,$2.43 B,+46.47%
142,143,up,PDL,Pendal Group Limited,$7.59,+0.06,+0.80%,$2.41 B,-22.47%
143,144,down,BRG,Breville Group Limited,$18.18,-0.58,-3.09%,$2.37 B,+59.75%
144,145,up,ZEL,Z Energy Limited Foreign Exempt NZX,$5.90,+0.05,+0.86%,$2.36 B,-15.11%
145,146,down,ABC,Adelaide Brighton,$3.62,-0.14,-3.72%,$2.36 B,-44.90%
146,147,down,BKW,Brickworks Limited,$15.70,-0.13,-0.82%,$2.35 B,-1.81%
147,148,up,SCP,Sca Property Group FP Units Stapled Securities,$2.49,+0.02,+0.81%,$2.30 B,+3.32%
148,149,up,BWP,BWP Trust Ordinary Units FP,$3.58,+0.02,+0.56%,$2.30 B,+12.23%
149,150,down,RRL,Regis Resources,$4.48,-0.01,-0.22%,$2.28 B,-8.94%
150,151,up,WEB,Webjet Limited,$16.62,+0.05,+0.30%,$2.25 B,+43.49%
151,152,up,NWL,Netwealth Group,$9.43,+0.12,+1.29%,$2.24 B,+8.02%
152,153,up,NHC,New Hope Corporation,$2.69,+0.07,+2.67%,$2.24 B,+11.62%
153,154,up,MGG,Magellan Glob Trust Ordinary Units FP,$1.775,+0.015,+0.85%,$2.19 B,+16.39%
154,155,up,NXT,NEXTDC Limited,$6.36,+0.1,+1.60%,$2.19 B,-15.09%
155,156,up,ABP,Abacus Property Group FP Ordinary/Units Stapled Securities,$3.64,+0.01,+0.28%,$2.11 B,-3.19%
156,157,down,EVT,Event Hospitality,$13.01,-0.18,-1.37%,$2.09 B,-8.64%
157,158,no change,IFL,IOOF Holdings Limited,$5.94,0.00,0.00%,$2.09 B,-37.54%
158,159,down,NVT,Navitas Limited,$5.77,-0.03,-0.52%,$2.07 B,+31.14%
159,160,up,CQR,Charter Hall Retail Units FP,$4.49,+0.04,+0.90%,$1.98 B,+8.98%
160,161,down,SGM,Sims Metal MGMT Limited,$9.75,-0.03,-0.31%,$1.98 B,-41.16%
161,162,no change,HLS,Healius,$3.17,0.00,0.00%,$1.97 B,-12.38%
162,163,up,VVR,Viva Energy REIT FP Ordinary/Units Stapled Securities,$2.47,+0.03,+1.23%,$1.92 B,+20.49%
163,164,down,PME,Pro Medicus Limited,$18.49,-0.34,-1.81%,$1.92 B,+131.13%
164,165,up,SPO,Spotless Group HLD Limited,$1.70,+0.145,+9.33%,$1.87 B,+49.12%
165,166,down,PPT,Perpetual Limited,$39.75,-0.63,-1.56%,$1.85 B,-1.88%
166,167,down,DHG,Domain Holdings Aus,$3.04,-0.08 ,-2.56%,$1.77 B,-7.88%
167,168,no change,HTA,Hutchison,$0.13,0.00,0.00%,$1.76 B,+160.00%
168,169,down,NUF,Nufarm Limited,$4.62,-0.23,-4.74%,$1.75 B,-46.88%
169,170,down,IVC,Invocare Limited,$15.00,-0.05,-0.33%,$1.75 B,+30.44%
170,171,down,JHG,Janus Henderson Chess Depositary Interests 1:1,$31.42,-0.53,-1.66%,$1.74 B,-29.85%
171,172,down,GNC,Graincorp Limited Class A,$7.54,-0.09,-1.18%,$1.73 B,-3.58%
172,173,down,MND,Monadelphous Group,$18.15,-0.16,-0.87%,$1.71 B,+13.86%
173,174,up,APE,A.P. Eagers Limited,$8.92,+0.27,+3.12%,$1.71 B,+1.60%
174,175,down,SM1,Synlait Milk Limited Foreign Exempt NZX,$9.46,-0.4,-4.06%,$1.70 B,+0.11%
175,176,down,CGC,Costa Group Holdings,$5.23,-0.01,-0.19%,$1.68 B,-29.42%
176,177,up,SBM,ST Barbara Limited,$3.18,+0.03,+0.95%,$1.67 B,-32.91%
177,178,down,CSR,CSR Limited,$3.33,-0.04,-1.19%,$1.67 B,-36.57%
178,179,up,ING,Inghams Group,$4.32,+0.01,+0.23%,$1.61 B,+12.79%
179,180,no change,NEA,Nearmap Limited,$3.56,0.00,0.00%,$1.59 B,+295.56%
180,181,down,VTS,VNGD US Total Market Chess Depositary Interests 1:1,$209.92,-0.74,-0.35%,$1.58 B,+12.38%
181,182,down,MFF,MFF Capital INV Limited,$2.91,-0.06,-2.02%,$1.58 B,+16.40%
182,183,down,IOO,Ishs Global 100 ETF ETF Units FP,$68.59,-0.47,-0.68%,$1.57 B,+8.63%
183,184,up,BAP,Bapcor Limited,$5.54,+0.11,+2.03%,$1.57 B,-11.08%
184,185,down,BKL,Blackmores Limited,$90.25,-0.05,-0.06%,$1.57 B,-29.77%
185,186,down,VGS,VNGD Intl Shares ETF Units FP,$73.59,-0.33,-0.45%,$1.56 B,+5.99%
186,187,no change,VAH,Virgin Aus HLDG Limited,$0.18,0.00,0.00%,$1.52 B,-25.00%
187,188,down,ARB,ARB Corporation,$18.62,-0.27,-1.43%,$1.48 B,-12.91%
188,189,up,SUL,Super Ret Rep Limited,$7.52,+0.01,+0.13%,$1.48 B,-2.59%
189,190,down,AAA,Betasharescashetf ETF Units FP,$50.09,-0.01,-0.02%,$1.43 B,0.00%
190,191,down,WAM,WAM Capital Limited,$1.98,-0.01,-0.50%,$1.42 B,-17.16%
191,192,down,PLS,Pilbara Min Limited,$0.765,-0.015,-1.92%,$1.41 B,-15.47%
192,193,down,BVS,Bravura Solution Limited,$5.80,-0.08,-1.36%,$1.41 B,+81.25%
193,194,down,VEU,VNGD All-World Ex-US Chess Depositary Interests 1:1,$71.29,-0.54,-0.75%,$1.39 B,-3.14%
194,195,down,IPH,IPH Limited,$6.98,-0.07,-0.99%,$1.38 B,+68.60%
195,196,down,NAN,Nanosonics Limited,$4.56,-0.02,-0.44%,$1.37 B,+75.39%
196,197,down,MGE,Mag Global Equities Trading Managed Fund Units FP,$3.64,-0.02,-0.55%,$1.35 B,+14.47%
197,198,down,MGX,Mount Gibson Iron,$1.18,-0.015,-1.26%,$1.33 B,+171.26%
198,199,down,GEM,G8 Education Limited,$2.83,-0.03,-1.05%,$1.30 B,+15.51%
199,200,up,CLW,CHTR H LWR FP Units Stapled Securities,$4.52,+0.04,+0.89%,$1.27 B,+8.15%
200,201,down,CUV,Clinuvel Pharmaceut,$26.00,-1.58,-5.73%,$1.27 B,+100.00%
201,202,up,BIN,Bingo Industries Limited,$1.91,+0.02,+1.06%,$1.26 B,-31.66%
202,203,up,VAP,VNGD Aus Prop Sec ETF Units FP,$86.70,+0.95,+1.11%,$1.26 B,+6.15%
203,204,down,LYC,Lynas Corporation,$1.885,-0.005,-0.27%,$1.25 B,-30.19%
204,205,up,CEN,Contact Energy Limited Foreign Exempt NZX,$6.80,+0.1,+1.49%,$1.25 B,+31.27%
205,206,down,CCP,Credit Corp Group,$23.00,-0.1,-0.43%,$1.25 B,+23.72%
206,207,no change,AVN,Aventus Group FP Ordinary/Units Stapled Securities,$2.27,0.00,0.00%,$1.22 B,+3.65%
207,208,down,FNP,Freedom Food Limited,$4.95,-0.08,-1.59%,$1.22 B,-11.45%
208,209,no change,SNZ,Summerset Group Holdings Foreign Exempt NZX,$5.38,0.00,0.00%,$1.21 B,-18.61%
209,210,up,IOZ,Ishares S&P/ASX 200 ETF Units FP,$25.88,+0.05,+0.19%,$1.21 B,+2.70%
210,211,up,SIQ,Smartgrp Corporation,$9.03,+0.28,+3.20%,$1.19 B,-20.30%
211,212,no change,AOG,Aveo Group FP Ordinary/Units Stapled Securities,$2.02,0.00,0.00%,$1.17 B,-24.63%
212,213,up,Z1P,ZIP Co Limited,$3.31,+0.01,+0.30%,$1.17 B,+303.66%
213,214,up,NSR,National Storage FP Ordinary/Units Stapled Securities,$1.725,+0.005,+0.29%,$1.16 B,+9.68%
214,215,up,VHY,VNGD Aus High Yield ETF Units FP,$58.85,+0.28,+0.48%,$1.14 B,+0.39%
215,216,down,CQE,Charter Hall Edu TR Units FP,$3.67,-0.03,-0.81%,$1.10 B,+32.01%
216,217,up,MMS,Mcmillan Shakespeare,$13.26,+0.16,+1.22%,$1.10 B,-25.63%
217,218,up,BGA,Bega Cheese Limited,$5.16,+0.04,+0.78%,$1.10 B,-24.89%
218,219,up,BKI,BKI Investment Limited,$1.495,+0.005,+0.34%,$1.09 B,-2.29%
219,220,up,PNI,Pinnacle Investment,$5.91,+0.04,+0.68%,$1.08 B,+16.57%
220,221,no change,TLT,Tilt Renewables Limited Foreign Exempt NZX,$2.30,0.00,0.00%,$1.08 B,+47.98%
221,222,down,BAL,Bellamy's Australia,$9.48,-0.24,-2.47%,$1.07 B,-50.13%
222,223,down,SFR,Sandfire Resources,$6.72,-0.03,-0.44%,$1.07 B,-18.05%
223,224,no change,MYX,Mayne Pharma Limited,$0.67,0.00,0.00%,$1.06 B,-8.84%
224,225,up,AUI,Australian United in,$8.46,+0.02,+0.24%,$1.05 B,-2.08%
225,226,up,PPH,Pushpay Holdings Limited Foreign Exempt NZX,$3.81,+0.21,+5.83%,$1.05 B,-4.27%
226,227,up,GMA,Genworth Mortgage,$2.45,+0.01,+0.41%,$1.04 B,0.00%
227,228,no change,CIA,Champion Iron Limited,$2.40,0.00,0.00%,$1.04 B,+77.78%
228,229,up,LOV,Lovisa Holdings Limited,$9.68,+0.18,+1.90%,$1.02 B,-7.55%
229,230,up,JIN,Jumbo Interactive,$16.41,+0.13,+0.80%,$1.02 B,+267.94%
230,231,up,RBD,Restaurant Brands NZ Foreign Exempt NZX,$8.03,+0.01,+0.13%,$1.00 B,+21.48%
231,232,down,ASL,Ausdrill Limited,$1.42,-0.005,-0.35%,$973.66 M,-45.75%
232,233,down,GUD,G.U.D. Holdings,$11.24,-0.35,-3.02%,$972.10 M,-12.87%
233,234,down,LSF,L1 Long Short Fund,$1.44,-0.005,-0.35%,$957.37 M,-30.77%
234,235,up,REG,Regis Healthcare Limited,$3.16,+0.03,+0.96%,$950.07 M,-20.00%
235,236,up,SSM,Service Stream,$2.35,+0.02,+0.86%,$943.81 M,+43.73%
236,237,up,LEP,Ale Property Group FP Ordinary/Units Stapled Securities,$4.80,+0.05,+1.05%,$939.69 M,-9.77%
237,238,down,SXL,STHN Cross Media,$1.21,-0.015,-1.22%,$930.51 M,+2.11%
238,239,down,NWH,NRW Holdings Limited,$2.47,-0.06,-2.37%,$928.45 M,+109.32%
239,240,up,CKF,Collins Foods Limited,$7.93,+0.07,+0.89%,$923.94 M,+41.10%
240,241,down,ORE,Orocobre Limited,$3.53,-0.08,-2.22%,$923.72 M,-36.74%
241,242,down,AUB,AUB Group Limited,$12.47,-0.19,-1.50%,$916.58 M,-10.73%
242,243,no change,CMA,Centuria Metro REIT Ordinary Units FP,$2.55,0.00,0.00%,$908.54 M,+10.39%
243,244,up,VAF,VNGD Aus Fi ETF Units FP,$50.87,+0.01,+0.02%,$908.21 M,+4.97%
244,245,up,SDA,Speedcast Int Limited,$3.76,+0.01,+0.27%,$901.43 M,-37.75%
245,246,up,PGH,Pact Group Holdings Limited,$2.60,+0.01,+0.39%,$894.38 M,-54.63%
246,247,up,ASB,Austal Limited,$2.51,+0.01,+0.40%,$885.50 M,+44.25%
247,248,up,VGL,Vista Group Int Limited Foreign Exempt NZX,$5.31,+0.11,+2.12%,$882.03 M,+71.29%
248,249,down,GWA,GWA Group Limited,$3.32,-0.03,-0.90%,$876.31 M,-11.47%
249,250,up,DUI,Diversified United,$4.14,+0.03,+0.73%,$873.40 M,+2.99%
250,251,up,GOR,Gold Road Res Limited,$0.985,+0.035,+3.68%,$864.81 M,+28.76%
251,252,up,RSG,Resolute Mining,$1.135,+0.005,+0.44%,$860.44 M,-7.72%
252,253,down,OML,Ooh!Media Limited,$3.58,-0.06,-1.65%,$856.77 M,-29.46%
253,254,no change,WLE,Wam Leaders Limited,$1.09,0.00,0.00%,$854.44 M,-3.11%
254,255,down,HUB,HUB24 Limited,$13.70,-0.12,-0.87%,$853.91 M,+9.60%
255,256,up,COE,Cooper Energy Limited,$0.525,+0.005,+0.96%,$851.31 M,+43.84%
256,257,no change,ZIM,Zimplats Holding Limited 10c US,$7.85,0.00,0.00%,$844.96 M,+21.71%
257,258,down,TGR,Tassal Group Limited,$4.73,-0.13,-2.68%,$844.07 M,+21.59%
258,259,up,CIP,Centuria I REIT Ordinary Units FP,$3.04,+0.02,+0.66%,$823.37 M,+19.48%
259,260,down,AX1,Accent Group Limited,$1.51,-0.035,-2.27%,$817.27 M,+18.90%
260,261,down,CIN,Carlton Investments,$30.42,-0.07,-0.23%,$805.36 M,-6.11%
261,262,up,NWS,News Corp Class B Voting Common Stock-Cdi 1:1,$16.75,+0.17,+1.03%,$794.06 M,-24.96%
262,263,down,SWM,Seven West Media Limited,$0.525,-0.005,-0.94%,$791.72 M,-27.08%
263,264,up,KDR,Kidman Resources Limited,$1.92,+0.02,+1.05%,$777.21 M,-12.73%
264,265,down,AHG,Automotive Holdings,$2.34,-0.01,-0.43%,$776.00 M,-31.38%
265,266,no change,HGH,Heartland Group Foreign Exempt NZX,$1.36,0.00,0.00%,$774.30 M,-7.48%
266,267,no change,360,LIFE360 Inc Cdi 3:1 US Person Prohibited Excluding QIB Def Set,$5.31,0.00,0.00%,$764.06 M,0.00%
267,268,up,DDR,Dicker Data Limited,$4.75,+0.2,+4.40%,$763.89 M,+64.36%
